"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Bad Schwartau","Bad Schwartau","53.9194","10.6975","Germany","DE","DEU","Schleswig-Holstein","","20255","1276687859"
"Blieskastel","Blieskastel","49.2333","7.2500","Germany","DE","DEU","Saarland","","20240","1276041906"
"Ochtrup","Ochtrup","52.2056","7.1903","Germany","DE","DEU","North Rhine-Westphalia","","20230","1276195349"
"Telgte","Telgte","51.9819","7.7856","Germany","DE","DEU","North Rhine-Westphalia","","20222","1276981111"
"Lichtenfels","Lichtenfels","50.1333","11.0333","Germany","DE","DEU","Bavaria","minor","20217","1276573026"
"Schopfheim","Schopfheim","47.6500","7.8167","Germany","DE","DEU","Baden-Württemberg","","20163","1276002233"
"Giengen an der Brenz","Giengen an der Brenz","48.6217","10.2450","Germany","DE","DEU","Baden-Württemberg","","20133","1276782990"
"Kürten","Kurten","51.0497","7.2667","Germany","DE","DEU","North Rhine-Westphalia","","20128","1276494913"
"Holzminden","Holzminden","51.8297","9.4483","Germany","DE","DEU","North Rhine-Westphalia","minor","20120","1276491992"
"Leinefelde","Leinefelde","51.3833","10.3333","Germany","DE","DEU","Thuringia","","20119","1276779963"
